"","dF/dx","Std. Err.","z","P>|z|"
"famsingleparent0017.whnh.pct",0.00355126668351007,0.00118898692251042,2.98680045699067,0.00281913664759544
"fampov0017.pi.pct",-0.129963593638467,0.0204636024650089,-6.35096356375641,2.13970390383427e-10
"fam.mobilehome",-1.7431443082096e-05,2.13552543900729e-06,-8.16260146739298,3.27884937399441e-16
"refsrcJJ",0.0764712234649404,0.0192968071942164,3.96289514090497,7.40463098373937e-05
"refsrcLegal",0.0867030444766272,0.0173824289108788,4.98797060647629,6.10168492617213e-07
"refsrcSchool",0.00555930617616496,0.0047696893611165,1.16554889747865,0.243796879438028
"refsrcFamily",0.0328572036694504,0.0162825173290777,2.01794372487928,0.0435971225352821
"refsrcOther",0.03567693496869,0.0288174783743985,1.23803111796157,0.215704522749957
"sexM",0.0654743279427785,0.00470193495094987,13.9249752763065,4.46696049448431e-44
"fampov0017.pct",-0.00667554776033569,0.00120978694957453,-5.51795319224053,3.42970748280082e-08
"famsingleparent0017.pi.pct",-0.218680369901428,0.0292677197827866,-7.47172555717995,7.91499522234977e-14
"famsingleparent0017.hi.pct",-0.0126730162600693,0.00256677470196811,-4.93733098208893,7.91989935545507e-07
"fam0017.whnh.pct",-0.0034717962137931,0.00167927719240422,-2.06743486393841,0.0386931959262492
"famsingleparent0017.ot.pct",0.0131222829993368,0.0035684031615399,3.67735438102067,0.000235665529862032
"famhh.married.wh.pct",0.0159703744450806,0.00483279655004307,3.30458240476484,0.000951180088879661
"SNAP.cumulative",3.26021256197003e-07,4.6460687484655e-08,7.01714231638696,2.26451924451156e-12
"fampov0017.bl.pct",0.0079770980885968,0.00201541581157097,3.95804083842076,7.55670397393127e-05
"famhh.married.whnh.pct",-0.0116177488435531,0.00485530437235338,-2.39279516845654,0.0167205727867948
"pop2599nohs",9.7974640132437e-06,1.56476156563916e-06,6.26131432953603,3.81746155254214e-10
"famsingleparent0017.pct",0.00603996296558977,0.00154406228785706,3.91173530568665,9.16353141978899e-05
"fampov0017.hi.pct",0.0131029881551311,0.00211617502998768,6.19182627592356,5.94710791850203e-10
"agghhincome.whnh.pct",0.00925018326460548,0.00507386840863642,1.82310271367314,0.0682878356799161
"famhh.married.pct",0.011453915490205,0.0016607428687955,6.89686266635144,5.31635309938595e-12
"`ADHD/ADD`",0.102250493918184,0.0126978535591551,8.05258096904585,8.10660731522e-16
"nprior.Dismissed",-0.00408162974249684,0.00492448019883369,-0.828844787204855,0.407192241302633
"fam0017.pi.pct",0.257024505200639,0.0604314412293588,4.25315862028078,2.10776162698238e-05
"fampov0017.whnh.pct",0.0147895922503496,0.00255571042520682,5.78688105838626,7.17053127708615e-09
"nprior.Diverted",0.0140250940714394,0.00608608168066806,2.30445380251615,0.0211971827875953
"completeplumbing",-1.35855525260504e-06,8.17278179599088e-07,-1.66229233389232,0.0964541741521811
"fam0017.as.pct",-0.0155986563170595,0.0078909104123175,-1.97678791191324,0.0480656086448847
"weekend.off",0.024412795734039,0.00571289734122293,4.27327751154952,1.9262047725195e-05
"famsingleparent0017.as.pct",0.000412061795707066,0.00668463937036446,0.0616430854196701,0.950847064959924
"pop2599nohs.pct",0.0032317089305533,0.00156868120726496,2.06014384285758,0.0393847916010761
"agghhincome.wh.pct",-0.0156713025092691,0.00519529330926802,-3.01644230197987,0.00255759887379247
"fampov0017.na.pct",0.0164217886216628,0.00303058749756796,5.41868157076515,6.00401436751295e-08
"agghhincome",3.16195471584979e-11,7.23038154577542e-12,4.37315056727161,1.22466197526217e-05
"famhh.married.as.pct",0.0253875879128576,0.00645888830847836,3.93064358761743,8.4718780380509e-05
"fampov0017.wh.pct",-0.00582064555261299,0.00193628646255708,-3.00608699444513,0.00264633275355046
"famhh.married.mr.pct",0.00732985027574791,0.00559787174483122,1.30939946641613,0.190399072131824
"fampov0017",2.02252414826724e-05,6.74846930194454e-06,2.99701170409779,0.00272640245611528
"fam0017.hi.pct",-0.016297564367038,0.00390283107505135,-4.17583135258387,2.96899729030435e-05
"famhh.married.bl.pct",0.00163895873414438,0.00395168364071981,0.414749479754872,0.678325306479291
