"","dF/dx","Std. Err.","z","P>|z|"
"nprior.Diverted",0.014915637006841,0.00517498152078792,2.88225898912389,0.00394835056881774
"completeplumbing",-1.65188689626923e-06,6.0476592138296e-07,-2.73144838004719,0.00630566181570525
"fam0017.as.pct",-0.00860114130196802,0.00608281994284088,-1.4140055735319,0.157360266021855
"weekend.off",0.0249621230186552,0.00431661373470316,5.78280211128776,7.34664673662389e-09
"famsingleparent0017.as.pct",0.0137353276657633,0.00519671642968164,2.64307815360339,0.00821560693969594
"pop2599nohs.pct",0.00565820496935219,0.00128313169047138,4.40968375371786,1.03521685274889e-05
"agghhincome.wh.pct",-0.0166453374754606,0.0040150358058383,-4.14575069324573,3.38702196399251e-05
"fampov0017.na.pct",0.0120957645331886,0.00237240364419032,5.09852721007634,3.42306333508556e-07
"agghhincome",3.67646883024733e-11,5.61103488818631e-12,6.5522116748693,5.66911044626476e-11
"famhh.married.as.pct",0.0267866639895573,0.00505551712101911,5.29850129043921,1.16757052065314e-07
"fampov0017.wh.pct",-0.00406444735618082,0.00151439553007337,-2.68387437460537,0.00727744459316075
"famhh.married.mr.pct",-0.00255699184705674,0.00449628262688159,-0.568690195711773,0.569566402504884
"fampov0017",1.57219997708046e-05,5.3512498968759e-06,2.93800515277435,0.00330331533376116
"fam0017.hi.pct",-0.0152638370194863,0.00300003584729625,-5.08788487752326,3.62079043092575e-07
"famhh.married.bl.pct",-0.00012740477059298,0.00318659431896707,-0.0399814842556672,0.968107887912324
